Test 1
0.0013559 0.0001858 0.0006752
0.0013954 0.0001892 0.0006847
0.0013019 0.0001888 0.0006682
0.0013092 0.000182 0.0006868
0.0013009 0.0001866 0.0006723
0.0013242 0.0001826 0.0006684
0.0013057 0.0001824 0.0006778
0.0012296 0.0001845 0.0006625
0.0012357 0.0001802 0.0006765
0.0012816 0.0001832 0.0006761
Sorted
0.0011888 0.000206 0.0006508
0.0011828 0.0001883 0.0006306
0.0011943 0.000192 0.0006405
0.001207 0.0001882 0.0006387
0.0011828 0.0001842 0.0006361
0.0011897 0.0001912 0.0006252
0.0011983 0.0001885 0.0006365
0.0012065 0.0001886 0.0006462
0.0012285 0.0001946 0.0006471
0.001221 0.0001826 0.0006425
Test 2
0.0027863 0.0001834 0.0007481
0.0027587 0.0001884 0.0007689
0.0028622 0.000188 0.0008114
0.0028091 0.0001885 0.0007699
0.0027863 0.0001882 0.0007508
0.0027821 0.0001798 0.0007516
0.0028006 0.0002085 0.0007608
0.002807 0.0001774 0.0008122
0.0027393 0.0001765 0.000747
0.0027706 0.0001809 0.000751
Sorted
0.0025424 0.0001878 0.000694
0.0025485 0.0001913 0.0006924
0.0025275 0.0001904 0.0007014
0.0025021 0.0002042 0.0007339
0.0025654 0.0001951 0.000716
0.0024755 0.0001923 0.0006953
0.0025478 0.0001896 0.0007061
0.0025086 0.0001914 0.0006939
0.0025059 0.0001912 0.0007082
0.0024946 0.0001876 0.0007031
Test 3
0.0060845 0.0001826 0.0008129
0.0060703 0.0001861 0.0008309
0.0059998 0.0001858 0.0008116
0.0060231 0.000182 0.0008125
0.0060369 0.0001916 0.0008143
0.0062245 0.0001844 0.0008285
0.0062418 0.0001881 0.0009038
0.0061251 0.0001801 0.000853
0.006397 0.0001904 0.0011141
0.0060822 0.0001817 0.0008249
Sorted
0.0054044 0.0001976 0.0007756
0.0053598 0.0002185 0.000805
0.0053637 0.0001996 0.0007895
0.0053676 0.000203 0.0007795
0.0053568 0.0002047 0.0007688
0.0054065 0.0002005 0.0008006
0.0055001 0.0002144 0.0008276
0.0053998 0.0002076 0.0008035
0.0053539 0.0002192 0.0008469
0.0054946 0.0002054 0.0007951
Test 4
0.0135629 0.0001892 0.0009745
0.0134339 0.0001812 0.0009374
0.0132436 0.0001861 0.0009853
0.0132033 0.0001872 0.0008749
0.0132128 0.0001853 0.0009127
0.0133703 0.0001859 0.0009553
0.0132147 0.0001792 0.0009223
0.0131773 0.0001782 0.00093
0.0132081 0.0001819 0.0009233
0.0131927 0.0001795 0.0009343
Sorted
0.0114546 0.0002372 0.0009727
0.0116976 0.0002338 0.0009502
0.0115174 0.0002091 0.0008648
0.0115307 0.0002027 0.0008599
0.0114727 0.0002343 0.0009576
0.0115089 0.0002239 0.0009331
0.011677 0.000245 0.0010925
0.0115062 0.0002173 0.000892
0.0114149 0.0002096 0.0008803
0.0114294 0.0001952 0.0008612
Test 5
0.028827 0.0001902 0.0010926
0.0287336 0.0001908 0.0011692
0.0285832 0.0001901 0.0010959
0.0288087 0.0001889 0.0010871
0.0288003 0.0001807 0.00116
0.0285514 0.0001855 0.0010589
0.0285694 0.0001906 0.0011808
0.0283788 0.0001865 0.0010544
0.0285059 0.0001842 0.0010138
0.0284233 0.000188 0.0011359
Sorted
0.024405 0.0002505 0.0011918
0.02427 0.0002447 0.0011505
0.0240777 0.0002517 0.0011946
0.0241042 0.0002328 0.0010648
0.024264 0.000232 0.0011118
0.0244823 0.0002331 0.0010649
0.0241476 0.0002265 0.0010984
0.0240507 0.0002374 0.0011399
0.0243025 0.0002262 0.0010554
0.0245462 0.0002446 0.0011189
Test 6
0.0612841 0.0001854 0.0013174
0.0606908 0.000185 0.0012598
0.0611799 0.0001892 0.0012251
0.0604119 0.0001852 0.0012425
0.0608158 0.0001846 0.001256
0.0612499 0.0001795 0.0012768
0.0611785 0.0001814 0.001328
0.0604076 0.0001791 0.0012061
0.0624855 0.0001927 0.0015098
0.061167 0.0001894 0.0012537
Sorted
0.0508276 0.0002543 0.0012749
0.0509771 0.0002539 0.0012901
0.0506044 0.0002547 0.0013425
0.0513175 0.0002575 0.0014757
0.0507399 0.0002522 0.0013079
0.0510337 0.0002868 0.0013411
0.0512784 0.0002602 0.0015463
0.050769 0.000255 0.0013065
0.050829 0.0002535 0.0013261
0.051076 0.0002404 0.0013177
Test 7
0.131408 0.0001811 0.0014872
0.130441 0.0001945 0.00146
0.13947 0.000191 0.0015641
0.133493 0.0001906 0.0015356
0.145257 0.0001883 0.001791
0.182933 0.0001864 0.0016958
0.172301 0.0002207 0.002314
0.212719 0.0001936 0.0021366
0.179466 0.0001863 0.0017211
0.177005 0.0001932 0.0017498
Sorted
0.115059 0.0003087 0.0019448
0.107913 0.0002755 0.0015508
0.108294 0.0002753 0.0015424
0.106496 0.0002688 0.001538
0.106725 0.0002703 0.0014961
0.106468 0.000267 0.0015162
0.107145 0.0002676 0.0015558
0.10643 0.0002719 0.0015428
0.106132 0.0002759 0.0015596
0.10697 0.0002857 0.001611
Test 8
0.287913 0.0001892 0.001681
0.293725 0.0001905 0.0017497
0.291087 0.0001886 0.0017068
0.292207 0.0001819 0.0016787
0.293229 0.0001932 0.0017715
0.291338 0.0001895 0.0016792
0.291999 0.000188 0.001698
0.298448 0.0001889 0.0019161
0.313269 0.0002057 0.002233
0.310944 0.0001876 0.0019143
Sorted
0.223435 0.0002936 0.001799
0.22396 0.0002949 0.0018071
0.223934 0.0002932 0.0017675
0.226095 0.0002997 0.0017363
0.226473 0.0002993 0.0017751
0.225505 0.0002979 0.0018515
0.224208 0.0003025 0.0017865
0.223755 0.000298 0.0017597
0.223576 0.0002919 0.0017574
0.222681 0.0002972 0.0019636
Test 9
0.634855 0.0001883 0.0018814
0.660176 0.0001818 0.0019688
0.641203 0.0001886 0.0018858
0.643032 0.0001922 0.0018807
0.665163 0.0001834 0.001916
0.657513 0.0001833 0.0018841
0.708276 0.0001877 0.0019111
0.664346 0.0001861 0.001894
0.67556 0.0001863 0.0019509
0.668181 0.0001913 0.002022
Sorted
0.465721 0.0003244 0.0020296
0.465193 0.0003098 0.001991
0.464553 0.0003154 0.0020631
0.466945 0.0003219 0.0019997
0.466994 0.0003264 0.0020314
