Test 1
0.0003525 0.0001386 0.0001637
0.0003136 0.000137 0.0001642
0.0003007 0.0001389 0.0001649
0.000297 0.0001387 0.0001685
0.0002855 0.0001383 0.0001665
0.0002875 0.0001325 0.0001566
0.0002924 0.0001354 0.0001615
0.0002938 0.0001371 0.0001599
0.0003527 0.0001391 0.0001635
0.0002911 0.0001398 0.0001643
Sorted
0.0069841 0.0032635 0.003112
0.0067717 0.0033687 0.003133
0.0066294 0.0032927 0.0031101
0.0068835 0.0034106 0.0031928
0.0066359 0.0033752 0.0030815
0.0063861 0.0031959 0.0030038
0.0067146 0.0033224 0.0031147
0.0065676 0.0033327 0.0030867
0.0064043 0.0032617 0.0029355
0.0062844 0.003176 0.0028224
Test 2
0.0004917 0.0001377 0.0001671
0.0004999 0.0001369 0.0001659
0.0005386 0.0001387 0.0001737
0.0005051 0.0001375 0.0001668
0.000501 0.000137 0.0001702
0.0005057 0.0001366 0.0001658
0.0005055 0.0001381 0.0001705
0.0005003 0.0001378 0.0001666
0.0005016 0.0001371 0.0001676
0.000497 0.0001361 0.0001641
Sorted
0.0158628 0.0038106 0.0036482
0.0143007 0.0036088 0.0033871
0.0142337 0.0034899 0.0033858
0.0144768 0.0035853 0.0034352
0.0153606 0.0036783 0.0036781
0.0163323 0.0042346 0.0040292
0.0147923 0.0034627 0.0033765
0.0145875 0.0036427 0.0032904
0.0154645 0.0038808 0.0035098
0.0165759 0.0039997 0.0038935
Test 3
0.0008734 0.0001332 0.000163
0.000891 0.0001418 0.0001679
0.000843 0.0001369 0.0001608
0.0008855 0.000139 0.0001707
0.0008867 0.0001398 0.0001685
0.0009086 0.0001388 0.0001703
0.000883 0.0001414 0.0001656
0.0008615 0.0001351 0.0001652
0.0009138 0.0001429 0.0001707
0.0008761 0.0001374 0.000161
Sorted
0.0301085 0.0037382 0.0035571
0.0302095 0.0037365 0.0034436
0.03184 0.0040184 0.0038642
0.0328645 0.0040881 0.003888
0.0351439 0.0045888 0.0043037
0.0299837 0.0036502 0.0034896
0.0286382 0.0036114 0.0033545
0.0297448 0.0037982 0.0035277
0.0291832 0.0037482 0.0035171
0.0310158 0.003687 0.0035573
Test 4
0.0017003 0.0001383 0.0001684
0.0016834 0.0001399 0.0001786
0.0016326 0.0001366 0.0001662
0.0016444 0.0001394 0.0001667
0.0016401 0.0001378 0.0001659
0.0016637 0.0001444 0.0001684
0.0016064 0.0001346 0.0001677
0.0016109 0.000136 0.0001656
0.0016586 0.0001379 0.0001726
0.0015495 0.000131 0.0001667
Sorted
0.0586681 0.0038691 0.0035755
0.0571861 0.0037381 0.0033837
0.0582185 0.0038028 0.0035061
0.0573312 0.0036322 0.003528
0.0593605 0.0037999 0.0036198
0.0575346 0.0037179 0.0034418
0.0702965 0.0045281 0.0042925
0.0689938 0.0043427 0.0041619
0.0676969 0.0041389 0.0040491
0.0679096 0.0043437 0.0039431
Test 5
0.0031658 0.0001403 0.0001694
0.0031093 0.0001348 0.0001664
0.0032851 0.0001455 0.0001728
0.003077 0.000134 0.000164
0.0032053 0.0001385 0.0001655
0.003287 0.0001411 0.0001727
0.0030957 0.0001332 0.0001581
0.0031731 0.0001374 0.0001644
0.0032221 0.0001421 0.0001669
0.0031047 0.0001342 0.0001601
Sorted
0.125762 0.0039087 0.0037972
0.121081 0.003688 0.0035385
0.113703 0.0037445 0.0034179
0.128189 0.0039125 0.0038392
0.117397 0.0037195 0.003521
0.142063 0.0046384 0.0043044
0.117202 0.0036987 0.0035566
0.120248 0.0038535 0.0034169
0.113675 0.0036006 0.0033259
0.11698 0.0038927 0.0035092
Test 6
0.0062524 0.0001356 0.0001666
0.0061658 0.0001384 0.0001644
0.0061429 0.000139 0.0001658
0.0063373 0.0001424 0.000167
0.0063247 0.0001425 0.0001688
0.006488 0.0001451 0.0001726
0.0061783 0.0001372 0.0001655
0.0061603 0.0001377 0.0001686
0.0061774 0.0001403 0.0001674
