
Test: 0

Depth: 
     Ñartesian                                  AVL
1)     20                      11
2)     23                      11
3)     20                      11
4)     22                      11
5)     24                      11
6)     23                      11
7)     21                      11
8)     19                      11
9)     22                      11
10)     22                      11
11)     20                      11
12)     22                      11
13)     23                      11
14)     20                      11
15)     24                      11
16)     20                      11
17)     23                      11
18)     21                      11
19)     28                      11
20)     24                      11
21)     26                      11
22)     23                      11
23)     23                      11
24)     20                      11
25)     21                      11
26)     20                      11
27)     20                      11
28)     21                      11
29)     23                      11
30)     24                      11
31)     19                      11
32)     21                      11
33)     20                      11
34)     25                      11
35)     22                      11
36)     21                      11
37)     22                      11
38)     20                      11
39)     21                      11
40)     22                      11
41)     22                      11
42)     20                      11
43)     21                      11
44)     19                      11
45)     21                      12
46)     21                      11
47)     23                      11
48)     27                      11
49)     22                      11
50)     24                      11

Test: 1

Depth: 
     Ñartesian                                  AVL
1)     26                      13
2)     23                      13
3)     25                      12
4)     27                      13
5)     26                      12
6)     24                      12
7)     23                      13
8)     23                      13
9)     24                      12
10)     23                      12
11)     25                      13
12)     22                      12
13)     24                      13
14)     26                      13
15)     29                      12
16)     23                      12
17)     25                      12
18)     26                      13
19)     23                      13
20)     25                      12
21)     30                      12
22)     27                      13
23)     24                      13
24)     22                      12
25)     23                      12
26)     22                      12
27)     25                      13
28)     24                      12
29)     26                      12
30)     23                      13
31)     25                      12
32)     26                      12
33)     25                      12
34)     27                      13
35)     24                      12
36)     26                      12
37)     26                      12
38)     24                      12
39)     25                      12
40)     23                      13
41)     26                      12
42)     29                      12
43)     25                      12
44)     26                      12
45)     23                      12
46)     22                      13
47)     27                      13
48)     23                      12
49)     24                      12
50)     25                      12

Test: 2

Depth: 
     Ñartesian                                  AVL
1)     28                      13
2)     26                      13
3)     29                      14
4)     25                      14
5)     28                      13
6)     28                      14
7)     26                      14
8)     32                      13
9)     25                      14
10)     27                      14
11)     30                      13
12)     28                      14
13)     26                      13
14)     29                      14
15)     25                      13
16)     28                      14
17)     29                      14
18)     27                      14
19)     25                      14
20)     29                      14
21)     31                      13
22)     27                      13
23)     25                      14
24)     28                      14
25)     30                      14
26)     27                      14
27)     30                      14
28)     29                      14
29)     28                      14
30)     26                      13
31)     26                      14
32)     31                      14
33)     26                      14
34)     27                      13
35)     26                      13
36)     25                      14
37)     26                      14
38)     26                      14
39)     29                      14
40)     28                      13
41)     28                      14
42)     29                      14
43)     29                      14
44)     28                      13
45)     32                      13
46)     29                      14
47)     26                      14
48)     30                      13
49)     27                      14
50)     25                      14

Test: 3

Depth: 
     Ñartesian                                  AVL
1)     30                      14
2)     30                      15
3)     28                      15
4)     37                      15
5)     30                      15
6)     28                      15
7)     31                      15
8)     27                      14
9)     32                      15
10)     28                      15
11)     35                      15
12)     32                      15
13)     29                      15
14)     28                      15
15)     32                      15
16)     30                      15
17)     37                      15
18)     31                      15
19)     30                      15
20)     28                      15
21)     30                      15
22)     28                      15
23)     31                      15
24)     30                      15
25)     29                      15
26)     28                      15
27)     31                      15
28)     31                      15
29)     29                      15
30)     28                      15
31)     31                      15
32)     32                      15
33)     32                      15
34)     30                      15
35)     30                      15
36)     28                      15
37)     31                      15
38)     31                      15
39)     29                      15
40)     30                      15
41)     28                      15
42)     34                      15
43)     31                      15
44)     27                      15
45)     28                      15
46)     31                      15
47)     29                      15
48)     28                      15
49)     33                      15
50)     30                      15

Test: 4

