
Test: 0

Insert: 
     Ñartesian                                  AVL
1)     0.0014373                      0.0004755
2)     0.0008187                      0.0004755
3)     0.0008427                      0.000442
4)     0.0008525                      0.0004851
5)     0.0008635                      0.000436
6)     0.0012755                      0.0004755
7)     0.00088                      0.0005008
8)     0.0012155                      0.0004437
9)     0.0008022                      0.0005138
10)     0.000906                      0.0004645
11)     0.0007975                      0.0005236
12)     0.0008938                      0.0004328
13)     0.000797                      0.0005102
14)     0.0013865                      0.0004389
15)     0.0007963                      0.0004918
16)     0.0008265                      0.0004366
17)     0.0007901                      0.0004816
18)     0.0007982                      0.0004245
19)     0.0008343                      0.0004742
20)     0.0008485                      0.0004464
21)     0.0008925                      0.0004786
22)     0.0008821                      0.0004798
23)     0.0008576                      0.0004792
24)     0.0008271                      0.0005118
25)     0.0008681                      0.0004388
26)     0.0007969                      0.0005125
27)     0.0008595                      0.0004356
28)     0.0008105                      0.0005
29)     0.0008236                      0.0004228
30)     0.0008178                      0.0004802
31)     0.0009244                      0.0004342
32)     0.0009347                      0.0004856
33)     0.0009125                      0.0004325
34)     0.000835                      0.0006361
35)     0.0008734                      0.0004382
36)     0.0008548                      0.000475
37)     0.0007977                      0.0005042
38)     0.0008091                      0.0004443
39)     0.0008435                      0.0005056
40)     0.0007975                      0.0004387
41)     0.0008189                      0.0005478
42)     0.0008461                      0.000442
43)     0.0008574                      0.000511
44)     0.0008252                      0.0004418
45)     0.0012168                      0.0004872
46)     0.0008223                      0.0004328
47)     0.000836                      0.0004765
48)     0.0008822                      0.0004367
49)     0.0009553                      0.000473
50)     0.0008244                      0.0004879

Test: 1

Insert: 
     Ñartesian                                  AVL
1)     0.0009871                      0.0005594
2)     0.0008298                      0.000455
3)     0.000833                      0.0004516
4)     0.0007529                      0.0005248
5)     0.0008071                      0.0004944
6)     0.0012339                      0.00045
7)     0.0007992                      0.0005159
8)     0.0010253                      0.0005659
9)     0.0010618                      0.0004683
10)     0.0008589                      0.0005086
11)     0.0007955                      0.0004885
12)     0.0008275                      0.0004457
13)     0.0007685                      0.0005031
14)     0.0009374                      0.0004965
15)     0.000841                      0.0004519
16)     0.000884                      0.0004515
17)     0.0008147                      0.0005225
18)     0.0008501                      0.0004909
19)     0.0008613                      0.0004503
20)     0.000755                      0.0005108
21)     0.0008038                      0.0005007
22)     0.0007843                      0.0004509
23)     0.0008651                      0.0004541
24)     0.0008603                      0.0005132
25)     0.0008042                      0.0004888
26)     0.0008557                      0.0004574
27)     0.0008147                      0.0005051
28)     0.000886                      0.0005089
29)     0.0011312                      0.0004492
30)     0.0008303                      0.0005061
31)     0.0008886                      0.0004889
32)     0.0008689                      0.0004453
33)     0.0009079                      0.000451
34)     0.0008075                      0.0005199
35)     0.0013089                      0.0006003
36)     0.0008746                      0.0004605
37)     0.0009319                      0.0005183
38)     0.0008991                      0.0004922
39)     0.0015904                      0.0004524
40)     0.0014954                      0.0005015
41)     0.0007823                      0.0004906
42)     0.0009724                      0.0004481
43)     0.0007712                      0.0005068
44)     0.0008282                      0.0005274
45)     0.0008769                      0.000462
46)     0.0008321                      0.0004491
47)     0.0007699                      0.0005128
48)     0.0008234                      0.0004944
49)     0.0008618                      0.0004594
50)     0.0008143                      0.0004969

Test: 2

Insert: 
     Ñartesian                                  AVL
1)     0.0007557                      0.0006856
2)     0.0008172                      0.0004611
3)     0.0008597                      0.0004727
4)     0.0012907                      0.0004594
5)     0.0008119                      0.0005056
6)     0.0009044                      0.0004946
7)     0.0008208                      0.0004991
8)     0.0008813                      0.0005327
9)     0.0007972                      0.0005184
10)     0.0007918                      0.0005299
11)     0.0008166                      0.0004647
12)     0.0008399                      0.0004692
13)     0.0009133                      0.0004623
14)     0.0008898                      0.0005089
15)     0.0009073                      0.0005027
16)     0.0008495                      0.0005731
17)     0.0008042                      0.0005326
18)     0.0008774                      0.0005335
19)     0.0009659                      0.0004666
20)     0.0008319                      0.000464
21)     0.0009831                      0.0004633
22)     0.000864                      0.0005049
23)     0.0008643                      0.0005036
24)     0.0008292                      0.0005
25)     0.0008223                      0.0005163
26)     0.0007882                      0.0005176
27)     0.0007956                      0.0005281
28)     0.0008019                      0.0004651
29)     0.0008428                      0.0004654
30)     0.0008564                      0.0004697
31)     0.0009374                      0.0005019
32)     0.0008396                      0.0005048
33)     0.0008099                      0.0005172
34)     0.0011076                      0.0005394
35)     0.0010272                      0.0005203
36)     0.0008654                      0.0004634
37)     0.0008546                      0.0004656
38)     0.0011679                      0.0004563
39)     0.0008815                      0.0005008
40)     0.0007595                      0.0005058
41)     0.0008032                      0.0005039
42)     0.0007783                      0.0005336
43)     0.0008115                      0.0005187
44)     0.0007532                      0.0005182
45)     0.0008603                      0.0004701
46)     0.0008692                      0.0004591
47)     0.0008854                      0.000459
48)     0.0008578                      0.0004955
49)     0.0008701                      0.0004974
50)     0.0008494                      0.0004954

Test: 3

Insert: 
     Ñartesian                                  AVL
1)     0.0008611                      0.0005068
2)     0.0008587                      0.0005087
3)     0.0009329                      0.000477
4)     0.0007901                      0.0004757
5)     0.0008692                      0.000479
6)     0.0008543                      0.0004664
7)     0.000833                      0.000537
8)     0.0007983                      0.0005261
9)     0.0009115                      0.0005204
10)     0.0009152                      0.0005117
11)     0.0008457                      0.0005083
12)     0.0008218                      0.0005082
13)     0.0008796                      0.0005122
14)     0.0014986                      0.0004754
15)     0.0009552                      0.0004739
16)     0.0008268                      0.0004725
17)     0.0008168                      0.0004729
18)     0.0008317                      0.0005227
19)     0.0008673                      0.0005399
20)     0.0008664                      0.0005432
21)     0.0007821                      0.0005096
22)     0.0013218                      0.0005114
23)     0.0008209                      0.0005311
24)     0.000832                      0.0004745
25)     0.000844                      0.0004769
26)     0.0009398                      0.0004761
27)     0.0008763                      0.0004739
28)     0.0008362                      0.0005452
29)     0.00093                      0.0005539
30)     0.0007776                      0.0005209
31)     0.000833                      0.0005358
32)     0.0008339                      0.0005164
33)     0.0009075                      0.0005075
34)     0.0008409                      0.0005085
35)     0.0008187                      0.0004689
36)     0.0008811                      0.0004741
37)     0.0008521                      0.0004726
38)     0.0008623                      0.0005477
39)     0.0007625                      0.0005299
40)     0.0008355                      0.0005692
41)     0.0007819                      0.0005156
42)     0.0008722                      0.00051
43)     0.0008472                      0.000514
44)     0.0008535                      0.0004713
45)     0.0008572                      0.0004834
46)     0.0014687                      0.0004724
47)     0.0008289                      0.0004709
48)     0.0008151                      0.000526
49)     0.000846                      0.0005297
50)     0.0007884                      0.0005237

Test: 4

Insert: 
     Ñartesian                                  AVL
1)     0.0009119                      0.0004801
2)     0.0008677                      0.0005231
3)     0.0008935                      0.000479
4)     0.0007956                      0.0005082
5)     0.0008406                      0.0005341
6)     0.00088                      0.0005163
7)     0.0007868                      0.0005319
8)     0.0008371                      0.000478
9)     0.0010303                      0.0005141
10)     0.0008376                      0.0004798
11)     0.0010524                      0.0005159
12)     0.0007672                      0.0005261
13)     0.0008434                      0.0005081
14)     0.0007727                      0.0005531
15)     0.000815                      0.0005163
16)     0.0011576                      0.0005318
17)     0.0008565                      0.000477
18)     0.000855                      0.0005207
19)     0.00093                      0.0004856
20)     0.0007813                      0.0005127
21)     0.0008255                      0.0005345
22)     0.0008635                      0.0005139
23)     0.0008042                      0.0005387
24)     0.0008334                      0.0004761
25)     0.001264                      0.0005282
26)     0.0015411                      0.0004688
27)     0.0008933                      0.0005145
28)     0.0010412                      0.0004809
29)     0.0008011                      0.0005153
30)     0.0008365                      0.0005341
31)     0.0008686                      0.0005103
32)     0.0007628                      0.0005798
33)     0.0008667                      0.0004747
34)     0.0011343                      0.0005112
35)     0.0014357                      0.0004712
36)     0.0007769                      0.0005392
37)     0.0007938                      0.0005374
38)     0.0008511                      0.000472
39)     0.0008189                      0.0005363
40)     0.0008299                      0.0004758
41)     0.0008191                      0.0005137
42)     0.0008868                      0.0004801
43)     0.0013322                      0.0006055
44)     0.0010256                      0.0008332
45)     0.0008857                      0.0004802
46)     0.0007945                      0.0005573
47)     0.0007811                      0.0004783
48)     0.0008306                      0.0005126
49)     0.0009083                      0.0004787
50)     0.0008819                      0.0005125

Test: 5

Insert: 
     Ñartesian                                  AVL
1)     0.0008971                      0.0004782
2)     0.0008291                      0.0005138
3)     0.0011855                      0.0006663
4)     0.0009088                      0.0005162
5)     0.0008364                      0.0005446
6)     0.0008267                      0.0005255
7)     0.0007671                      0.0005349
8)     0.0009094                      0.0005174
9)     0.0007607                      0.0005402
10)     0.0008199                      0.00052
11)     0.0007629                      0.0005328
12)     0.0007895                      0.0004837
13)     0.0007883                      0.0005402
14)     0.0008972                      0.0004699
15)     0.0007939                      0.0005387
16)     0.0008348                      0.0004761
17)     0.0009114                      0.0005154
18)     0.0012341                      0.0004848
19)     0.0012567                      0.0005203
20)     0.0008656                      0.0004864
21)     0.0012526                      0.0005131
22)     0.0007943                      0.0005595
23)     0.0008477                      0.0004994
24)     0.0007774                      0.0005265
25)     0.000901                      0.000516
26)     0.0008331                      0.0005431
27)     0.0015417                      0.0004739
28)     0.0007476                      0.000533
29)     0.0008762                      0.0004791
30)     0.0007442                      0.0005367
31)     0.0007918                      0.0004604
32)     0.0008848                      0.000558
33)     0.0008153                      0.0004879
34)     0.0008478                      0.0005329
35)     0.0008802                      0.0004851
36)     0.0008635                      0.0005449
37)     0.0008163                      0.0005179
38)     0.0007634                      0.0005492
39)     0.0008449                      0.0004793
40)     0.0008502                      0.000541
41)     0.0009668                      0.0004838
42)     0.0008988                      0.0005434
43)     0.0009711                      0.0004847

Test: 0

Insert: 
     Ñartesian                                  AVL
1)     0.0009058                      0.0004807
2)     0.0008622                      0.0004216
3)     0.0008351                      0.0004846
4)     0.0009282                      0.0004392
5)     0.000869                      0.0004777
6)     0.0008191                      0.0004375
7)     0.0011729                      0.0004904
8)     0.0008441                      0.0004375
9)     0.0007845                      0.0004783
10)     0.000814                      0.0005043
11)     0.0008195                      0.0004989
12)     0.0011018                      0.0005053
13)     0.0011324                      0.0004451
14)     0.0007881                      0.0005019
15)     0.000874                      0.0004364
16)     0.0008207                      0.0004936
17)     0.0008503                      0.0004374
18)     0.0009916                      0.0004777
19)     0.0008796                      0.0004453
20)     0.0009134                      0.0004683
21)     0.0008351                      0.0004141
22)     0.0008356                      0.0004781
23)     0.0008539                      0.0004407
24)     0.0010122                      0.0005146
25)     0.0007938                      0.0004919
26)     0.0008392                      0.0004877
27)     0.0008179                      0.000494
28)     0.0008041                      0.0004352
29)     0.0008203                      0.0005051
30)     0.0012758                      0.0004434
31)     0.0013298                      0.0004973
32)     0.0010477                      0.0004336
33)     0.0009394                      0.0004718
34)     0.0008682                      0.0004432
35)     0.0009424                      0.0004743
36)     0.0008359                      0.0004384
37)     0.0008226                      0.0004798
38)     0.0008472                      0.0004824
39)     0.0008015                      0.000441
40)     0.0008135                      0.0004864
41)     0.0008579                      0.0004448
42)     0.0008082                      0.0004859
43)     0.0008463                      0.0004343
44)     0.0007716                      0.0004925
45)     0.0014652                      0.0004395
46)     0.0008635                      0.0004854
47)     0.0008147                      0.0004377
48)     0.0009898                      0.0005015
49)     0.0008418                      0.0004398
50)     0.0008403                      0.0004767

Test: 1

Insert: 
     Ñartesian                                  AVL
1)     0.0008588                      0.0004558
2)     0.0008056                      0.0004938
3)     0.0008066                      0.0004928
4)     0.000838                      0.0004566
5)     0.0008502                      0.0004535
6)     0.000801                      0.0004784
7)     0.0010432                      0.000494
8)     0.000895                      0.0004466
9)     0.0008538                      0.0005141
10)     0.0008684                      0.0004887
11)     0.0014295                      0.000442
12)     0.0008444                      0.0005314
13)     0.0007973                      0.0004836
14)     0.0008076                      0.0004486
15)     0.0009497                      0.0004969
16)     0.0008423                      0.0004859
17)     0.0013504                      0.0004532
18)     0.0010252                      0.0004518
19)     0.0008398                      0.0005534
20)     0.0008857                      0.0004864
21)     0.0007958                      0.0004456
22)     0.000835                      0.0005082
23)     0.0008731                      0.0004866
24)     0.0008248                      0.000454
25)     0.0008294                      0.0005984
26)     0.0009262                      0.0004999
27)     0.000966                      0.0004781
28)     0.0008393                      0.0004564
29)     0.000823                      0.0006025
30)     0.0008836                      0.000511
31)     0.0018123                      0.0004557
32)     0.0007669                      0.0005322
33)     0.0008567                      0.000483
34)     0.0008153                      0.0004575
35)     0.0012958                      0.0005119
36)     0.0008933                      0.0004854
37)     0.000812                      0.000438
38)     0.0008206                      0.0004484
39)     0.0007871                      0.00051
40)     0.0008111                      0.0004853
41)     0.000895                      0.0004531
42)     0.0008811                      0.0005086
43)     0.0008282                      0.0004947
44)     0.0009503                      0.0004521
45)     0.0011248                      0.0005093
46)     0.0007801                      0.00049
47)     0.0008443                      0.0004502
48)     0.0008515                      0.0004483
49)     0.0010034                      0.0005111
50)     0.0009225                      0.0004941

Test: 2

Insert: 
     Ñartesian                                  AVL
1)     0.0008614                      0.0004954
2)     0.0008189                      0.0005053
3)     0.0008939                      0.000513
4)     0.0007993                      0.000531
