
Test: 0

 Remove : 
     Ñartesian                   AVL 
1)      7.83e-05              8e-06
2)      7.73e-05              7.7e-06
3)      7.65e-05              7.7e-06
4)      7.79e-05              7.6e-06
5)      7.95e-05              8.2e-06
6)      7.75e-05              7.6e-06
7)      7.8e-05              7.7e-06
8)      7.68e-05              7.7e-06
9)      7.72e-05              7.8e-06
10)      7.77e-05              7.6e-06
11)      8.26e-05              7.5e-06
12)      8.35e-05              7.8e-06
13)      7.78e-05              7.7e-06
14)      7.66e-05              7.7e-06
15)      7.78e-05              7.8e-06
16)      7.72e-05              7.7e-06
17)      7.67e-05              7.6e-06
18)      7.78e-05              7.6e-06
19)      7.76e-05              7.8e-06
20)      7.65e-05              7.9e-06
21)      7.66e-05              8.5e-06
22)      7.84e-05              7.8e-06
23)      7.76e-05              7.7e-06
24)      7.7e-05              8.3e-06
25)      7.71e-05              7.7e-06
26)      7.78e-05              7.7e-06
27)      7.83e-05              7.7e-06
28)      7.71e-05              7.5e-06
29)      7.66e-05              1.39e-05
30)      0.000111              1.24e-05
31)      7.76e-05              7.8e-06
32)      7.72e-05              7.8e-06
33)      7.71e-05              7.9e-06
34)      8.26e-05              8.1e-06
35)      7.91e-05              7.6e-06
36)      0.0001719              1.71e-05
37)      7.8e-05              7.7e-06
38)      7.78e-05              8.2e-06
39)      7.59e-05              7.7e-06
40)      8.08e-05              7.9e-06
41)      7.81e-05              7.7e-06
42)      0.0001797              2.22e-05
43)      7.71e-05              7.6e-06
44)      7.84e-05              7.6e-06
45)      7.77e-05              7.6e-06
46)      7.7e-05              7.8e-06
47)      7.69e-05              7.6e-06
48)      7.7e-05              7.8e-06
49)      7.75e-05              7.8e-06
50)      7.78e-05              7.6e-06

Test: 1

 Remove : 
     Ñartesian                   AVL 
1)      7.69e-05              7.7e-06
2)      9.94e-05              1.11e-05
3)      7.73e-05              7.7e-06
4)      8.67e-05              9.7e-06
5)      7.83e-05              8e-06
6)      8.15e-05              7.8e-06
7)      7.77e-05              7.6e-06
8)      7.9e-05              7.7e-06
9)      7.7e-05              7.6e-06
10)      9.23e-05              1.04e-05
11)      7.71e-05              7.6e-06
12)      7.74e-05              7.9e-06
13)      7.83e-05              8e-06
14)      7.72e-05              7.6e-06
15)      7.75e-05              7.7e-06
