
Test: 0

Search: 
     Ñartesian                      AVL
1)     6.32e-05           5.97e-05
2)     6.16e-05           5.91e-05
3)     6.04e-05           5.86e-05
4)     6.2e-05           6.34e-05
5)     6.16e-05           5.85e-05
6)     6.01e-05           5.83e-05
7)     6.68e-05           5.98e-05
8)     6.35e-05           6.02e-05
9)     6.34e-05           6.31e-05
10)     6.17e-05           6.06e-05
11)     6.06e-05           5.85e-05
12)     7.94e-05           7.12e-05
13)     6.05e-05           5.85e-05
14)     6.1e-05           5.86e-05
15)     6.24e-05           5.83e-05
16)     5.96e-05           5.77e-05
17)     0.0001385           0.0001316
18)     6.22e-05           6.13e-05
19)     6.17e-05           5.85e-05
20)     6.22e-05           5.85e-05
21)     6.37e-05           5.86e-05
22)     6.17e-05           5.85e-05
23)     6.14e-05           5.88e-05
24)     0.0001463           0.0001323
25)     6.19e-05           5.86e-05
26)     6.21e-05           5.86e-05
27)     6.36e-05           5.97e-05
28)     6.18e-05           5.86e-05
29)     6.13e-05           5.83e-05
30)     6.54e-05           5.85e-05
31)     6.19e-05           5.88e-05
32)     6.05e-05           5.85e-05
33)     6.17e-05           5.86e-05
34)     6.49e-05           6.07e-05
35)     6.18e-05           6.25e-05
36)     6.04e-05           5.87e-05
37)     8.29e-05           7.93e-05
38)     6.25e-05           5.88e-05
39)     0.0001061           5.96e-05
40)     6.34e-05           6.16e-05
41)     6.08e-05           5.87e-05
42)     6.03e-05           5.86e-05
43)     6.16e-05           5.83e-05
44)     6.06e-05           6.15e-05
45)     6.53e-05           5.85e-05
46)     6.06e-05           6.21e-05
47)     6.21e-05           5.86e-05
48)     0.0001398           0.0001315
49)     6.04e-05           5.89e-05
50)     6.16e-05           5.85e-05

Test: 1

Search: 
     Ñartesian                      AVL
1)     6.7e-05           6.29e-05
2)     6.21e-05           5.99e-05
3)     6.01e-05           5.88e-05
4)     6.24e-05           5.99e-05
5)     6.07e-05           5.86e-05
6)     6.15e-05           5.83e-05
7)     0.00011           0.0001314
8)     6.22e-05           5.98e-05
9)     5.84e-05           5.83e-05
10)     6.19e-05           5.97e-05
11)     6.15e-05           5.84e-05
12)     6.03e-05           5.85e-05
13)     6.18e-05           5.85e-05
14)     6.17e-05           5.85e-05
15)     0.0001385           0.0001268
16)     6.33e-05           5.97e-05
17)     6.31e-05           5.83e-05
18)     9.76e-05           5.3e-05
19)     0.0001381           0.0001314
20)     6.17e-05           6.16e-05
21)     0.0001432           0.0001323
22)     0.0001346           0.0001544
23)     0.0001382           0.000131
24)     6.03e-05           5.88e-05
25)     6.17e-05           6.05e-05
26)     7.22e-05           6.06e-05
27)     6.15e-05           5.83e-05
28)     6.41e-05           5.86e-05
29)     0.0001348           5.85e-05
30)     6.19e-05           5.97e-05
31)     6.56e-05           5.86e-05
32)     6.36e-05           5.98e-05
33)     6.31e-05           5.88e-05
34)     6.15e-05           5.83e-05
35)     6.35e-05           5.87e-05
36)     5.84e-05           5.85e-05
37)     0.0001383           0.0001315
38)     0.0001383           0.0001314
39)     0.0001419           0.0001614
40)     6.33e-05           5.96e-05
41)     6.17e-05           5.85e-05
42)     6.3e-05           5.83e-05
43)     6.2e-05           5.91e-05
44)     6.17e-05           5.85e-05
45)     6.39e-05           5.3e-05
46)     5.87e-05           5.86e-05
47)     5.97e-05           5.87e-05
48)     6.2e-05           5.86e-05
49)     6.22e-05           5.98e-05
50)     0.0001386           0.0001315

Test: 2

Search: 
     Ñartesian                      AVL
1)     6.4e-05           5.86e-05
2)     6.03e-05           5.85e-05
3)     6.03e-05           5.85e-05
4)     6.05e-05           5.87e-05
5)     6.03e-05           5.85e-05
6)     0.0001414           0.0001338
7)     0.0001382           0.0001316
8)     6.06e-05           5.85e-05
9)     6.05e-05           5.86e-05
10)     0.0001398           0.0001315
11)     6.35e-05           5.84e-05
12)     6.14e-05           5.83e-05
13)     6.33e-05           6.03e-05
14)     0.0001887           0.0001796
